address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
"CASA SARA, HEATHERSIDE DRIVE, VIRGINIA WATER, GU25 4JU",CASA SARA,,HEATHERSIDE DRIVE,,VIRGINIA WATER,GU25 4JU,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:heatherside-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,13800000,2009-12-09,runnymede-wentworth,A
"CHINTHURST GRANGE, CHINTHURST LANE, WONERSH, GUILDFORD, GU5 0QH",CHINTHURST GRANGE,,CHINTHURST LANE,WONERSH,GUILDFORD,GU5 0QH,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,8700000,2009-11-27,guildford-district,A
"COMBE RISE, MUNSTEAD HEATH ROAD, GODALMING, GU8 4AR",COMBE RISE,,MUNSTEAD HEATH ROAD,,GODALMING,GU8 4AR,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4505000,2009-11-17,waverley-south-surrey,A
"25A, BROADWATER CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DD",25A,,BROADWATER CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DD,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3100000,2009-11-16,elmbridge-prime,A
"33, MEADWAY, ESHER, KT10 9HG",33,,MEADWAY,,ESHER,KT10 9HG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4175000,2009-11-12,elmbridge-prime,A
"HILLVIEW, YAFFLE ROAD, WEYBRIDGE, KT13 0QF",HILLVIEW,,YAFFLE ROAD,,WEYBRIDGE,KT13 0QF,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:yaffle-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,7600000,2009-11-06,elmbridge-prime,A
"CONNAUGHT HOUSE, CHRISTCHURCH ROAD, VIRGINIA WATER, GU25 4RW",CONNAUGHT HOUSE,,CHRISTCHURCH ROAD,,VIRGINIA WATER,GU25 4RW,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5250000,2009-10-23,runnymede-wentworth,A
"RIDGEWAY HOUSE, RUNWICK, FARNHAM, GU10 5EE",RIDGEWAY HOUSE,,,RUNWICK,FARNHAM,GU10 5EE,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3550000,2009-10-15,waverley-south-surrey,A
"ORNSAY, WOODLANDS ROAD WEST, VIRGINIA WATER, GU25 4PN",ORNSAY,,WOODLANDS ROAD WEST,,VIRGINIA WATER,GU25 4PN,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-west:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3000000,2009-10-14,runnymede-wentworth,A
"BROAD HOUSE, 6, BROAD HIGH WAY, COBHAM, KT11 2RP","BROAD HOUSE, 6",,BROAD HIGH WAY,,COBHAM,KT11 2RP,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:broad-highway:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3300000,2009-10-09,elmbridge-prime,A
"LAKE HOUSE, LAKE ROAD, VIRGINIA WATER, GU25 4QW",LAKE HOUSE,,LAKE ROAD,,VIRGINIA WATER,GU25 4QW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:lake-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4500000,2009-10-01,runnymede-wentworth,A
"HOE HOUSE, FRANKSFIELD, PEASLAKE, GUILDFORD, GU5 9SR",HOE HOUSE,,FRANKSFIELD,PEASLAKE,GUILDFORD,GU5 9SR,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4750000,2009-09-03,guildford-district,A
"6A, EATON PARK, COBHAM, KT11 2JE",6A,,EATON PARK,,COBHAM,KT11 2JE,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3100000,2009-08-19,elmbridge-prime,A
"JADICA, CAMP END ROAD, WEYBRIDGE, KT13 0NW",JADICA,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3000000,2009-08-04,elmbridge-prime,A
"YORK HOUSE, 12, BLACKHILLS, ESHER, KT10 9JW","YORK HOUSE, 12",,BLACKHILLS,,ESHER,KT10 9JW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3600000,2009-07-31,elmbridge-prime,A
"WARWICK HEIGHTS, WARWICKS BENCH LANE, GUILDFORD, GU1 3TP",WARWICK HEIGHTS,,WARWICKS BENCH LANE,,GUILDFORD,GU1 3TP,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2009-07-31,guildford-district,A
"135, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EJ",135,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2009-07-31,elmbridge-prime,A
"6, CLAREMONT PARK ROAD, ESHER, KT10 9LT",6,,CLAREMONT PARK ROAD,,ESHER,KT10 9LT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3700000,2009-07-10,elmbridge-prime,A
"17, BADGERS HILL, VIRGINIA WATER, GU25 4SA",17,,BADGERS HILL,,VIRGINIA WATER,GU25 4SA,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:badgers-hill:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3150000,2009-07-08,runnymede-wentworth,A
"HIGHFIELD, WOODLANDS ROAD EAST, VIRGINIA WATER, GU25 4PH",HIGHFIELD,,WOODLANDS ROAD EAST,,VIRGINIA WATER,GU25 4PH,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-east:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,6000000,2009-07-03,runnymede-wentworth,A
"93, FAIRMILE LANE, COBHAM, KT11 2DD",93,,FAIRMILE LANE,,COBHAM,KT11 2DD,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3125000,2009-06-22,elmbridge-prime,A
"2, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UF",2,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UF,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4922000,2009-06-16,elmbridge-prime,A
"SHEPLEY WOOD, SHEPLEY DRIVE, ASCOT, SL5 0LH",SHEPLEY WOOD,,SHEPLEY DRIVE,,ASCOT,SL5 0LH,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4450000,2009-06-01,runnymede-wentworth,A
"WILTON HOUSE, MOLES HILL, OXSHOTT, LEATHERHEAD, KT22 0QB",WILTON HOUSE,,MOLES HILL,OXSHOTT,LEATHERHEAD,KT22 0QB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3551000,2009-06-01,elmbridge-prime,A
"BRAMPTON HOUSE, 17, LEYS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QE","BRAMPTON HOUSE, 17",,LEYS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5000000,2009-05-29,elmbridge-prime,A
"GARDENERS COTTAGE, ROMANY, PORTNALL RISE, VIRGINIA WATER, GU25 4JZ",ROMANY,GARDENERS COTTAGE,PORTNALL RISE,,VIRGINIA WATER,GU25 4JZ,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:portnall-rise:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4554000,2009-05-20,runnymede-wentworth,A
"9, CHARGATE CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DW",9,,CHARGATE CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DW,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:chargate-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3800000,2009-05-18,elmbridge-prime,A
"CEDARWOOD, OLD AVENUE, WEYBRIDGE, KT13 0QE",CEDARWOOD,,OLD AVENUE,,WEYBRIDGE,KT13 0QE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2009-05-08,elmbridge-prime,A
"CASTLEWOOD HOUSE, WICK LANE, ENGLEFIELD GREEN, EGHAM, TW20 0HT",CASTLEWOOD HOUSE,,WICK LANE,ENGLEFIELD GREEN,EGHAM,TW20 0HT,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2009-04-03,runnymede-wentworth,A
"HONEY HANGER, 17, EATON PARK, COBHAM, COBHAM, KT11 2JF","HONEY HANGER, 17",,EATON PARK,COBHAM,COBHAM,KT11 2JF,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3500000,2009-03-18,elmbridge-prime,A
"12, SPICERS FIELD, OXSHOTT, LEATHERHEAD, KT22 0UT",12,,SPICERS FIELD,OXSHOTT,LEATHERHEAD,KT22 0UT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3365000,2009-01-19,elmbridge-prime,A
"33, BROADWATER CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DD",33,,BROADWATER CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DD,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3000000,2009-01-14,elmbridge-prime,A
"SILVERWOOD, QUEENS DRIVE, OXSHOTT, LEATHERHEAD, KT22 0PB",SILVERWOOD,,QUEENS DRIVE,OXSHOTT,LEATHERHEAD,KT22 0PB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3150000,2008-12-19,elmbridge-prime,A
"WHITE ORCHID, SPRING WOODS, VIRGINIA WATER, VIRGINIA WATER, GU25 4PW",WHITE ORCHID,,SPRING WOODS,VIRGINIA WATER,VIRGINIA WATER,GU25 4PW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:spring-woods:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3700000,2008-12-12,runnymede-wentworth,A
"SANDHILLS, OUTWOOD LANE, BLETCHINGLEY, REDHILL, RH1 4LS",SANDHILLS,,OUTWOOD LANE,BLETCHINGLEY,REDHILL,RH1 4LS,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2008-12-12,tandridge-oxted,A
"SOMERSBURY MANOR, SOMERSBURY LANE, EWHURST, CRANLEIGH, GU6 7SR",SOMERSBURY MANOR,,SOMERSBURY LANE,EWHURST,CRANLEIGH,GU6 7SR,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3532500,2008-12-08,waverley-south-surrey,A
"HIGHTREES, THE CHASE, KINGSWOOD, TADWORTH, KT20 6JD",HIGHTREES,,THE CHASE,KINGSWOOD,TADWORTH,KT20 6JD,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2008-11-07,reigate-banstead,A
"27, BROOMFIELD RIDE, OXSHOTT, LEATHERHEAD, KT22 0LP",27,,BROOMFIELD RIDE,OXSHOTT,LEATHERHEAD,KT22 0LP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2008-10-31,elmbridge-prime,A
"BRIDGE END HOUSE, HYDE LANE, OCKHAM, WOKING, GU23 6NS",BRIDGE END HOUSE,,HYDE LANE,OCKHAM,WOKING,GU23 6NS,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2008-10-07,guildford-district,A
"27, OXSHOTT RISE, COBHAM, KT11 2RW",27,,OXSHOTT RISE,,COBHAM,KT11 2RW,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-rise:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3250000,2008-09-12,elmbridge-prime,A
"THE GATEHOUSE, THE WOLDS, WARLINGHAM, CR6 9LU",THE GATEHOUSE,,THE WOLDS,,WARLINGHAM,CR6 9LU,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2008-09-05,tandridge-oxted,A
"DANEHILL, WEST DRIVE, VIRGINIA WATER, VIRGINIA WATER, GU25 4LY",DANEHILL,,WEST DRIVE,VIRGINIA WATER,VIRGINIA WATER,GU25 4LY,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:west-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3400000,2008-08-29,runnymede-wentworth,A
"15, GOLDRINGS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QP",15,,GOLDRINGS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2008-08-22,elmbridge-prime,A
"HEATHRIDGE HOUSE, MOLES HILL, OXSHOTT, LEATHERHEAD, KT22 0QB",HEATHRIDGE HOUSE,,MOLES HILL,OXSHOTT,LEATHERHEAD,KT22 0QB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2008-08-19,elmbridge-prime,A
"MUNSTEAD PLACE, HEATH LANE, GODALMING, GODALMING, GU7 1UN",MUNSTEAD PLACE,,HEATH LANE,GODALMING,GODALMING,GU7 1UN,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3450000,2008-08-12,waverley-south-surrey,A
"DRAGON WYCK, OLD AVENUE, WEYBRIDGE, WEYBRIDGE, KT13 0PY",DRAGON WYCK,,OLD AVENUE,WEYBRIDGE,WEYBRIDGE,KT13 0PY,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2008-08-11,elmbridge-prime,A
"LONGBOURN, SHERBOURNE DRIVE, ASCOT, ASCOT, SL5 0LG",LONGBOURN,,SHERBOURNE DRIVE,ASCOT,ASCOT,SL5 0LG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2008-08-08,runnymede-wentworth,A
"5, CLARE HILL, ESHER, ESHER, KT10 9NA",5,,CLARE HILL,ESHER,ESHER,KT10 9NA,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2008-06-30,elmbridge-prime,A
"HAVERSTOCK HOUSE, 1, KEEPERS WALK, VIRGINIA WATER, VIRGINIA WATER, GU25 4RU","HAVERSTOCK HOUSE, 1",,KEEPERS WALK,VIRGINIA WATER,VIRGINIA WATER,GU25 4RU,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5000000,2008-06-27,runnymede-wentworth,A
"TUGLEY FARM, PICKHURST ROAD, CHIDDINGFOLD, GODALMING, GU8 4TG",TUGLEY FARM,,PICKHURST ROAD,CHIDDINGFOLD,GODALMING,GU8 4TG,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3850000,2008-05-28,waverley-south-surrey,A
"KIMBERLEY, SHERBOURNE DRIVE, ASCOT, ASCOT, SL5 0LG",KIMBERLEY,,SHERBOURNE DRIVE,ASCOT,ASCOT,SL5 0LG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3750000,2008-04-21,runnymede-wentworth,A
"29, BLACKHILLS, ESHER, ESHER, KT10 9JP",29,,BLACKHILLS,ESHER,ESHER,KT10 9JP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2008-04-03,elmbridge-prime,A
"9, SANDOWN AVENUE, ESHER, ESHER, KT10 9NT",9,,SANDOWN AVENUE,ESHER,ESHER,KT10 9NT,Woking,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3150000,2008-03-25,woking-district,A
"19, LEYS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QE",19,,LEYS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4750000,2008-03-14,elmbridge-prime,A
"29, WOLSEY ROAD, EAST MOLESEY, EAST MOLESEY, KT8 9EN",29,,WOLSEY ROAD,EAST MOLESEY,EAST MOLESEY,KT8 9EN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2008-03-12,elmbridge-prime,A
"FERNHURST, WEST ROAD, WEYBRIDGE, WEYBRIDGE, KT13 0LZ",FERNHURST,,WEST ROAD,WEYBRIDGE,WEYBRIDGE,KT13 0LZ,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:west-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4000000,2008-03-06,elmbridge-prime,A
"COPTHORNE, PORTNALL DRIVE, VIRGINIA WATER, VIRGINIA WATER, GU25 4NR",COPTHORNE,,PORTNALL DRIVE,VIRGINIA WATER,VIRGINIA WATER,GU25 4NR,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:portnall-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4650000,2008-02-29,runnymede-wentworth,A
"2, HAREBELL HILL, COBHAM, COBHAM, KT11 2RS",2,,HAREBELL HILL,COBHAM,COBHAM,KT11 2RS,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:harebell-hill:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4600000,2008-02-22,elmbridge-prime,A
"COPPERFIELDS, 14, BLACKHILLS, ESHER, ESHER, KT10 9JW","COPPERFIELDS, 14",,BLACKHILLS,ESHER,ESHER,KT10 9JW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2008-02-18,elmbridge-prime,A
"THE COPPICE, GODOLPHIN ROAD, WEYBRIDGE, WEYBRIDGE, KT13 0PT",THE COPPICE,,GODOLPHIN ROAD,WEYBRIDGE,WEYBRIDGE,KT13 0PT,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:godolphin-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3975000,2008-02-01,elmbridge-prime,A
"FOXBURY, CRABTREE LANE, WESTHUMBLE, DORKING, RH5 6BQ",FOXBURY,,CRABTREE LANE,WESTHUMBLE,DORKING,RH5 6BQ,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2008-01-31,mole-valley,A
"STUDIO FLAT, FORTUNA LODGE, SPRING WOODS, VIRGINIA WATER, VIRGINIA WATER, GU25 4PW",FORTUNA LODGE,STUDIO FLAT,SPRING WOODS,VIRGINIA WATER,VIRGINIA WATER,GU25 4PW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:spring-woods:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4750000,2007-12-21,runnymede-wentworth,A
